model,label_id,class_name,B1_simple,M1_ensemble_all,delta_ens_minus_simple
ViT-B/32,55,ketch,0.14912280701754385,0.08771929824561403,-0.06140350877192982
ViT-B/32,56,lamp,0.8360655737704918,0.9016393442622951,0.06557377049180324
ViT-B/32,57,laptop,0.9753086419753086,0.9753086419753086,0.0
ViT-B/32,58,llama,0.9230769230769231,0.9102564102564102,-0.012820512820512886
ViT-B/32,59,lobster,0.5609756097560976,0.43902439024390244,-0.12195121951219517
ViT-B/32,60,lotus,0.5606060606060606,0.48484848484848486,-0.07575757575757569
ViT-B/32,61,mandolin,0.9534883720930233,0.9534883720930233,0.0
ViT-B/32,62,mayfly,0.975,0.975,0.0
ViT-B/32,63,menorah,1.0,1.0,0.0
ViT-B/32,64,metronome,0.96875,0.96875,0.0
ViT-B/32,65,minaret,0.9210526315789473,0.8947368421052632,-0.02631578947368418
ViT-B/32,66,nautilus,0.9272727272727272,0.9454545454545454,0.018181818181818188
ViT-B/32,67,octopus,0.9142857142857143,0.8857142857142857,-0.02857142857142858
ViT-B/32,68,okapi,1.0,1.0,0.0
ViT-B/32,69,pagoda,0.9787234042553191,0.9787234042553191,0.0
ViT-B/32,70,panda,1.0,1.0,0.0
ViT-B/32,71,pigeon,1.0,1.0,0.0
ViT-B/32,72,pizza,1.0,1.0,0.0
ViT-B/32,73,platypus,0.8823529411764706,0.7647058823529411,-0.11764705882352944
ViT-B/32,74,pyramid,1.0,1.0,0.0
ViT-B/32,75,revolver,0.9878048780487805,0.9878048780487805,0.0
ViT-B/32,76,rhino,0.9661016949152542,0.9661016949152542,0.0
ViT-B/32,77,rooster,1.0,1.0,0.0
ViT-B/32,78,saxophone,0.975,0.975,0.0
ViT-B/32,79,schooner,0.9841269841269841,1.0,0.015873015873015928
ViT-B/32,80,scissors,0.9487179487179487,0.9487179487179487,0.0
ViT-B/32,81,scorpion,0.9047619047619048,0.7857142857142857,-0.11904761904761907
ViT-B/32,82,sea horse,0.8771929824561403,0.8596491228070176,-0.01754385964912275
ViT-B/32,83,snoopy (cartoon beagle),0.9714285714285714,0.9428571428571428,-0.02857142857142858
ViT-B/32,84,soccer ball,1.0,1.0,0.0
ViT-B/32,85,stapler,0.8888888888888888,0.9111111111111111,0.022222222222222254
ViT-B/32,86,starfish,1.0,1.0,0.0
ViT-B/32,87,stegosaurus,0.9661016949152542,0.9322033898305084,-0.03389830508474578
ViT-B/32,88,stop sign,1.0,1.0,0.0
ViT-B/32,89,strawberry,1.0,1.0,0.0
ViT-B/32,90,sunflower,1.0,1.0,0.0
ViT-B/32,91,tick,1.0,1.0,0.0
ViT-B/32,92,trilobite,1.0,1.0,0.0
ViT-B/32,93,umbrella,1.0,0.9866666666666667,-0.013333333333333308
ViT-B/32,94,watch,0.9916317991631799,0.9874476987447699,-0.004184100418409997
ViT-B/32,95,water lilly,0.8378378378378378,0.972972972972973,0.1351351351351352
ViT-B/32,96,wheelchair,1.0,1.0,0.0
ViT-B/32,97,wild cat,0.29411764705882354,0.17647058823529413,-0.11764705882352941
ViT-B/32,98,windsor chair,0.9821428571428571,1.0,0.017857142857142905
ViT-B/32,99,wrench,0.7948717948717948,0.717948717948718,-0.07692307692307687
ViT-B/32,100,yin and yang symbol,0.9833333333333333,0.9833333333333333,0.0
